"Input file","Event Number","Species Code","Call","Start time","End time","Parameter 1","Parameter 2","Parameter 3","Parameter 4","Parameter 5","Parameter 6","Comments","Image","Audio"
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 10:30","UF","Other","7/1/2022 3:35:05","7/1/2022 4:42:30",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 10:30","UF","Other","7/1/2022 4:32:35","7/1/2022 11:40:55",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 10:31","UF","Other","7/2/2022 3:37:06","7/2/2022 4:48:31",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 10:31","UF","Other","7/2/2022 4:44:31","7/2/2022 11:17:14",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 10:51","UF","Other","7/2/2022 11:07:19","7/2/2022 12:22:39",NA,NA,NA,NA,NA,NA,"Bocaccio sunrise",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:39","UF","Other","7/3/2022 3:30:06","7/3/2022 3:30:07",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:40","UF","Other","7/3/2022 11:06:34","7/3/2022 12:24:35",NA,NA,NA,NA,NA,NA,"Bocaccio sunrise",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:40","UF","Other","7/3/2022 3:30:07","7/3/2022 12:34:05",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:40","UF","Other","7/3/2022 4:21:27","7/3/2022 11:16:05",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:50","UF","Other","7/4/2022 3:30:09","7/4/2022 4:40:29",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:50","UF","Other","7/4/2022 4:23:24","7/4/2022 11:21:52",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:50","UF","Other","7/4/2022 11:14:17","7/4/2022 12:26:32",NA,NA,NA,NA,NA,NA,"Bocaccio sunrise",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:51","UF","Other","7/5/2022 3:16:46","7/5/2022 4:36:41",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:51","UF","Other","7/5/2022 4:17:41","7/5/2022 11:19:53",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:53","UF","Other","7/4/2022 3:33:59","7/4/2022 12:30:22",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:54","UF","Other","7/6/2022 3:20:37","7/6/2022 4:38:37",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:54","UF","Other","7/6/2022 4:04:22","7/6/2022 11:40:50",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:54","UF","Other","7/7/2022 3:22:34","7/7/2022 4:32:54",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:54","UF","Other","7/7/2022 4:11:59","7/7/2022 11:50:22",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 11:55","UF","Other","7/7/2022 2:48:21","7/7/2022 3:24:24",NA,NA,NA,NA,NA,NA,"Off Effort",NA,NA
