Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:28,UF,Other,7/5/2022 3:45:10.5,7/5/2022 4:44:45.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:28,UF,Other,7/6/2022 3:49:31.5,7/6/2022 4:23:46.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:28,UF,Other,7/9/2022 9:15:10.5,7/9/2022 11:29:10.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:28,UF,Other,7/10/2022 3:32:33.5,7/10/2022 4:18:43.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:29,UF,Other,7/14/2022 3:37:54.5,7/14/2022 4:33:04.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:29,UF,Other,7/15/2022 3:21:26.5,7/15/2022 4:07:36.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:29,UF,Other,7/16/2022 3:30:13.5,7/16/2022 4:17:53.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:29,UF,Other,7/17/2022 3:35:58.5,7/17/2022 8:03:58.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:30,UF,Other,7/23/2022 10:36:30.5,7/23/2022 12:23:40.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:30,UF,Other,7/27/2022 3:25:35.5,7/27/2022 12:23:08.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:30,UF,Other,7/29/2022 3:52:08.5,7/29/2022 6:18:03.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:30,UF,Other,7/31/2022 3:50:22.5,7/31/2022 4:24:37.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:31,UF,Other,8/5/2022 3:54:10.5,8/5/2022 6:05:10.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:31,UF,Other,8/6/2022 3:15:15.5,8/6/2022 3:57:00.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:31,UF,Other,8/6/2022 4:05:55.5,8/6/2022 11:44:33.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:31,UF,Other,8/8/2022 3:40:16.5,8/8/2022 12:48:13.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:31,UF,Other,8/9/2022 3:13:16.5,8/9/2022 4:05:26.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:31,UF,Other,8/9/2022 4:12:51.5,8/9/2022 9:09:09.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:32,UF,Other,8/10/2022 3:17:37.5,8/10/2022 12:31:29.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:32,UF,Other,8/11/2022 3:15:57.5,8/11/2022 4:34:52.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:32,UF,Other,8/11/2022 10:39:40.5,8/11/2022 12:53:40.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:32,UF,Other,8/12/2022 3:18:49.5,8/12/2022 13:02:33.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:32,UF,Other,8/13/2022 3:08:18.5,8/13/2022 12:35:36.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:32,UF,Other,8/14/2022 3:23:01.5,8/14/2022 6:50:01.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:32,UF,Other,8/15/2022 3:15:29.5,8/15/2022 8:56:27.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:32,UF,Other,8/16/2022 4:41:41.5,8/16/2022 12:44:08.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:32,UF,Other,8/17/2022 3:10:41.5,8/17/2022 7:09:01.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:33,UF,Other,8/18/2022 3:03:08.5,8/18/2022 12:20:01.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:33,UF,Other,8/19/2022 3:04:28.5,8/19/2022 12:49:40.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:33,UF,Other,8/20/2022 3:16:12.5,8/20/2022 12:40:35.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:33,UF,Other,8/21/2022 2:59:36.5,8/21/2022 4:03:41.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:33,UF,Other,8/21/2022 10:30:48.5,8/21/2022 12:34:23.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:33,UF,Other,8/24/2022 10:27:21.5,8/24/2022 11:59:41.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:34,UF,Other,8/25/2022 2:54:44.5,8/25/2022 3:52:49.5,,,,,,,UF440,,
