Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:52,UF,Other,7/6/2022 4:43:02.5,7/6/2022 12:29:04.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:52,UF,Other,7/7/2022 5:39:36.5,7/7/2022 12:33:33.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:53,UF,Other,7/12/2022 3:35:46.5,7/12/2022 4:27:51.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:53,UF,Other,7/14/2022 3:04:20.5,7/14/2022 3:55:00.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:53,UF,Other,7/18/2022 3:28:11.5,7/18/2022 4:14:21.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:54,UF,Other,7/20/2022 3:14:40.5,7/20/2022 4:05:20.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:54,UF,Other,7/21/2022 3:35:34.5,7/21/2022 12:43:31.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:54,UF,Other,7/22/2022 4:29:09.5,7/22/2022 12:45:01.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:55,UF,Other,7/24/2022 3:32:30.5,7/24/2022 12:37:26.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:55,UF,Other,7/25/2022 3:35:27.5,7/25/2022 12:22:33.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:55,UF,Other,7/26/2022 3:20:30.5,7/26/2022 12:37:22.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:57,UF,Other,7/27/2022 3:10:04.5,7/27/2022 4:15:34.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:57,UF,Other,7/27/2022 7:30:38.5,7/27/2022 12:49:16.5,,,,,,,UF440,,
