start_time,killerwhale_presence,killerwhale_echo_types,end_time
UTC,boolean,string,UTC
2019-07-14T02:42:07.752Z,1.0,NaN,2019-07-14T02:57:10Z
2019-07-14T04:00:47.213Z,1.0,NaN,2019-07-14T04:47:27Z
2019-07-17T17:03:31.838Z,1.0,NaN,2019-07-17T20:42:37Z
2019-07-17T21:24:16.000Z,1.0,NaN,2019-07-17T22:33:59Z
2019-07-18T13:55:12.557Z,1.0,NaN,2019-07-18T14:19:46Z
2019-07-18T14:40:26.464Z,1.0,NaN,2019-07-18T19:46:06Z
2019-07-19T05:55:06.000Z,1.0,NaN,2019-07-19T10:07:43Z
2019-07-19T22:01:30.305Z,1.0,NaN,2019-07-19T22:10:48Z
2019-07-20T00:25:21.000Z,1.0,NaN,2019-07-20T00:28:52Z
2019-07-20T00:55:08.000Z,1.0,NaN,2019-07-20T01:04:36Z
2019-07-22T15:44:45.982Z,1.0,NaN,2019-07-22T17:12:18Z
2019-07-22T19:22:50.493Z,1.0,NaN,2019-07-22T19:52:50Z
2019-07-22T20:16:47.169Z,1.0,NaN,2019-07-23T00:48:54Z
2019-07-23T01:37:33.000Z,1.0,NaN,2019-07-23T02:03:24Z
2019-07-23T02:21:55.953Z,1.0,NaN,2019-07-23T02:47:57Z
2019-07-23T03:15:10.000Z,1.0,NaN,2019-07-23T03:17:40Z
2019-07-23T03:21:19.000Z,1.0,NaN,2019-07-23T04:23:48Z
2019-07-23T05:27:44.233Z,1.0,NaN,2019-07-23T07:26:12Z
2019-07-24T06:13:56.097Z,1.0,NaN,2019-07-24T06:45:08Z
2019-07-31T01:45:16.212Z,1.0,NaN,2019-07-31T06:53:49Z
2019-07-31T07:32:33.485Z,1.0,NaN,2019-07-31T07:54:04Z
2019-07-31T11:12:13.932Z,1.0,NaN,2019-07-31T11:15:18Z
2019-07-31T20:24:53.075Z,1.0,NaN,2019-08-01T01:39:46Z
2019-08-01T03:47:54.334Z,1.0,NaN,2019-08-01T04:11:36Z
2019-08-01T12:38:35.111Z,1.0,NaN,2019-08-01T12:58:12Z
2019-08-03T13:04:05.528Z,1.0,NaN,2019-08-03T13:11:07Z
2019-08-03T13:36:47.982Z,1.0,NaN,2019-08-03T13:55:43Z
2019-08-03T14:39:49.550Z,1.0,NaN,2019-08-03T17:27:26Z
2019-08-04T23:45:17.766Z,1.0,NaN,2019-08-05T03:35:02Z
2019-08-05T04:21:28.543Z,1.0,NaN,2019-08-05T04:37:02Z
2019-08-05T05:18:40.636Z,1.0,NaN,2019-08-05T05:20:08Z
2019-08-05T05:51:02.643Z,1.0,NaN,2019-08-05T05:56:47Z
2019-08-05T06:17:47.478Z,1.0,NaN,2019-08-05T06:18:23Z
2019-08-05T15:35:03.255Z,1.0,NaN,2019-08-05T16:10:37Z
2019-08-05T19:01:52.089Z,1.0,NaN,2019-08-05T19:06:17Z
2019-08-05T19:34:20.392Z,1.0,NaN,2019-08-05T20:09:46Z
2019-08-05T20:53:10.996Z,1.0,NaN,2019-08-05T21:30:49Z
2019-08-06T19:16:31.882Z,1.0,NaN,2019-08-06T19:51:01Z
2019-08-06T20:33:18.406Z,1.0,NaN,2019-08-06T20:48:44Z
2019-08-07T14:15:50.219Z,1.0,NaN,2019-08-07T18:05:14Z
2019-08-07T20:59:27.924Z,1.0,NaN,2019-08-07T21:12:16Z
2019-08-08T07:45:04.542Z,1.0,NaN,2019-08-08T07:47:40Z
2019-08-10T16:29:18.040Z,1.0,NaN,2019-08-10T17:51:48Z
2019-08-11T03:05:08.622Z,1.0,NaN,2019-08-11T03:39:26Z
2019-08-11T06:12:53.867Z,1.0,NaN,2019-08-11T06:13:07Z
2019-08-11T14:43:06.248Z,1.0,NaN,2019-08-11T14:45:10Z
2019-08-11T16:01:30.000Z,1.0,NaN,2019-08-11T16:27:58Z
2019-08-12T04:44:12.000Z,1.0,NaN,2019-08-12T05:56:27Z
2019-08-13T02:01:03.270Z,1.0,NaN,2019-08-13T02:19:58Z
2019-08-13T02:44:15.472Z,1.0,NaN,2019-08-13T06:30:02Z
2019-08-15T16:15:38.349Z,1.0,NaN,2019-08-15T16:18:23Z
2019-08-15T16:49:02.550Z,1.0,NaN,2019-08-15T16:52:07Z
2019-08-15T17:41:03.162Z,1.0,NaN,2019-08-15T18:38:05Z
2019-08-15T19:33:52.895Z,1.0,NaN,2019-08-15T20:45:15Z
2019-08-15T21:31:04.089Z,1.0,NaN,2019-08-15T22:02:01Z
2019-08-16T10:14:42.370Z,1.0,NaN,2019-08-16T10:38:16Z
2019-08-18T03:44:43.371Z,1.0,NaN,2019-08-18T03:46:23Z
2019-08-21T17:35:10.000Z,1.0,NaN,2019-08-21T18:44:57Z
2019-08-21T19:18:39.141Z,1.0,NaN,2019-08-21T19:48:09Z
2019-08-22T22:34:00.000Z,1.0,NaN,2019-08-22T22:53:18Z
2019-08-23T04:35:22.896Z,1.0,NaN,2019-08-23T04:56:05Z
2019-08-23T05:26:10.406Z,1.0,NaN,2019-08-23T05:29:38Z
2019-08-23T20:32:06.018Z,1.0,NaN,2019-08-23T20:51:38Z
2019-08-23T23:55:49.658Z,1.0,NaN,2019-08-24T00:20:27Z
2019-08-24T01:23:53.000Z,1.0,NaN,2019-08-24T02:07:57Z
2019-08-24T14:29:04.327Z,1.0,NaN,2019-08-24T14:32:39Z
2019-08-24T15:01:48.600Z,1.0,NaN,2019-08-24T15:02:48Z
2019-08-24T15:18:14.177Z,1.0,NaN,2019-08-24T15:33:35Z
2019-08-24T15:59:11.162Z,1.0,NaN,2019-08-24T17:35:41Z
2019-08-24T20:45:36.269Z,1.0,NaN,2019-08-24T20:46:57Z
2019-08-25T14:36:59.500Z,1.0,NaN,2019-08-25T14:43:29Z
2019-08-25T15:25:37.867Z,1.0,NaN,2019-08-25T17:51:50Z
2019-08-25T18:13:37.479Z,1.0,NaN,2019-08-25T19:12:42Z
2019-08-25T19:30:28.435Z,1.0,NaN,2019-08-25T19:51:24Z
2019-08-25T23:25:50.744Z,1.0,NaN,2019-08-25T23:25:58Z
2019-08-26T00:56:33.421Z,1.0,NaN,2019-08-26T01:45:59Z
2019-08-26T13:48:50.694Z,1.0,NaN,2019-08-26T13:53:57Z
2019-08-26T14:44:01.118Z,1.0,NaN,2019-08-26T14:51:48Z
2019-08-27T06:24:03.902Z,1.0,NaN,2019-08-27T06:28:23Z
2019-08-27T12:19:28.608Z,1.0,NaN,2019-08-27T12:21:21Z
2019-08-28T02:31:15.947Z,1.0,NaN,2019-08-28T02:48:49Z
2019-08-28T07:33:43.787Z,1.0,NaN,2019-08-28T11:47:56Z
2019-08-28T12:08:02.371Z,1.0,NaN,2019-08-28T13:41:43Z
2019-08-28T14:21:38.960Z,1.0,NaN,2019-08-28T15:07:01Z
2019-08-28T21:01:17.349Z,1.0,NaN,2019-08-28T23:49:48Z
2019-08-29T01:04:04.695Z,1.0,NaN,2019-08-29T01:13:07Z
2019-08-29T01:40:09.312Z,1.0,NaN,2019-08-29T02:01:51Z
2019-08-30T08:17:54.011Z,1.0,NaN,2019-08-30T10:11:43Z
2019-08-30T10:42:24.003Z,1.0,NaN,2019-08-30T11:05:20Z
2019-08-31T07:16:38.212Z,1.0,NaN,2019-08-31T07:36:21Z
2019-08-31T07:52:39.600Z,1.0,NaN,2019-08-31T07:53:54Z
2019-08-31T08:11:47.060Z,1.0,NaN,2019-08-31T08:45:49Z
2019-08-31T15:57:34.262Z,1.0,NaN,2019-08-31T16:15:12Z
2019-09-01T03:08:35.147Z,1.0,NaN,2019-09-01T04:40:04Z
2019-09-01T07:43:20.637Z,1.0,NaN,2019-09-01T07:57:57Z
2019-09-01T08:59:30.097Z,1.0,NaN,2019-09-01T09:24:50Z
2019-09-01T09:41:50.499Z,1.0,NaN,2019-09-01T10:44:58Z
2019-09-01T12:30:39.097Z,1.0,NaN,2019-09-01T12:48:04Z
2019-09-01T21:08:18.996Z,1.0,NaN,2019-09-01T21:48:45Z
2019-09-02T04:03:24.147Z,1.0,NaN,2019-09-02T04:07:01Z
2019-09-02T04:33:32.406Z,1.0,NaN,2019-09-02T05:02:56Z
2019-09-02T05:43:23.636Z,1.0,NaN,2019-09-02T05:43:39Z
2019-09-02T09:11:43.133Z,1.0,NaN,2019-09-02T10:11:03Z
2019-09-02T11:07:54.522Z,1.0,NaN,2019-09-02T11:55:33Z
2019-09-02T14:20:15.212Z,1.0,NaN,2019-09-02T15:16:40Z
2019-09-02T23:49:39.010Z,1.0,NaN,2019-09-02T23:49:56Z
2019-09-03T00:35:32.341Z,1.0,NaN,2019-09-03T00:38:51Z
2019-09-03T03:28:48.320Z,1.0,NaN,2019-09-03T03:28:49Z
2019-09-03T13:39:28.931Z,1.0,NaN,2019-09-03T15:00:40Z
2019-09-03T22:18:43.313Z,1.0,NaN,2019-09-03T22:25:25Z
2019-09-04T01:43:40.479Z,1.0,NaN,2019-09-04T01:44:14Z
2019-09-04T03:50:22.227Z,1.0,NaN,2019-09-04T03:51:28Z
2019-09-05T06:20:38.234Z,1.0,NaN,2019-09-05T06:35:31Z
2019-09-06T00:33:08.356Z,1.0,NaN,2019-09-06T00:37:23Z
2019-09-06T03:09:24.752Z,1.0,NaN,2019-09-06T03:46:57Z
2019-09-06T15:00:32.140Z,1.0,NaN,2019-09-06T15:19:20Z
2019-09-06T16:01:04.176Z,1.0,NaN,2019-09-06T16:20:36Z
2019-09-06T16:34:59.327Z,1.0,NaN,2019-09-06T17:28:11Z
2019-09-06T18:30:11.629Z,1.0,NaN,2019-09-06T19:19:27Z
2019-09-06T19:44:39.328Z,1.0,NaN,2019-09-06T20:41:46Z
2019-09-06T21:46:30.197Z,1.0,NaN,2019-09-06T21:47:36Z
2019-09-06T23:31:46.730Z,1.0,NaN,2019-09-07T00:26:59Z
2019-09-07T09:32:00.666Z,1.0,NaN,2019-09-07T10:22:21Z
2019-09-08T07:16:51.817Z,1.0,NaN,2019-09-08T07:22:21Z
2019-09-08T08:54:35.435Z,1.0,NaN,2019-09-08T09:08:55Z
2019-09-08T10:26:29.571Z,1.0,NaN,2019-09-08T11:04:10Z
2019-09-08T13:15:46.098Z,1.0,NaN,2019-09-08T13:20:58Z
2019-09-08T16:43:07.220Z,1.0,NaN,2019-09-08T17:24:58Z
2019-09-08T20:18:13.939Z,1.0,NaN,2019-09-08T20:24:56Z
2019-09-08T21:05:33.731Z,1.0,NaN,2019-09-08T21:13:18Z
2019-09-09T01:46:50.140Z,1.0,NaN,2019-09-09T02:11:19Z
2019-09-09T04:03:23.133Z,1.0,NaN,2019-09-09T04:08:51Z
2019-09-09T17:21:29.658Z,1.0,NaN,2019-09-09T17:43:07Z
2019-09-10T23:31:55.492Z,1.0,NaN,2019-09-10T23:40:28Z
2019-09-11T08:29:04.608Z,1.0,NaN,2019-09-11T08:57:45Z
2019-09-11T10:01:24.867Z,1.0,NaN,2019-09-11T10:24:18Z
2019-09-12T03:02:18.866Z,1.0,NaN,2019-09-12T03:15:46Z
2019-09-12T20:34:31.392Z,1.0,NaN,2019-09-12T20:35:53Z
2019-09-13T06:59:36.493Z,1.0,NaN,2019-09-13T07:04:14Z
2019-09-13T08:08:28.751Z,1.0,NaN,2019-09-13T08:14:07Z
2019-09-15T12:16:06.493Z,1.0,NaN,2019-09-15T12:45:24Z
