Hour,Song,NonSong
11/13/2018 8:00,N/A,N/A
11/13/2018 9:00,N/A,N/A
11/13/2018 10:00,N/A,N/A
11/13/2018 11:00,N/A,N/A
11/13/2018 12:00,N/A,N/A
11/13/2018 13:00,N/A,N/A
11/13/2018 14:00,N/A,N/A
11/13/2018 15:00,N/A,N/A
11/13/2018 16:00,N/A,N/A
11/13/2018 17:00,N/A,N/A
11/13/2018 18:00,N/A,N/A
11/13/2018 19:00,N/A,N/A
11/13/2018 20:00,N/A,N/A
11/13/2018 21:00,N/A,N/A
11/13/2018 22:00,N/A,N/A
11/13/2018 23:00,N/A,N/A
11/14/2018 0:00,N/A,N/A
11/14/2018 1:00,N/A,N/A
11/14/2018 2:00,N/A,N/A
11/14/2018 3:00,N/A,N/A
11/14/2018 4:00,N/A,N/A
11/14/2018 5:00,N/A,N/A
11/14/2018 6:00,N/A,N/A
11/14/2018 7:00,N/A,N/A
11/14/2018 8:00,N/A,N/A
11/14/2018 9:00,N/A,N/A
11/14/2018 10:00,N/A,N/A
11/14/2018 11:00,N/A,N/A
11/14/2018 12:00,N/A,N/A
11/14/2018 13:00,N/A,N/A
11/14/2018 14:00,N/A,N/A
11/14/2018 15:00,N/A,N/A
11/14/2018 16:00,N/A,N/A
11/14/2018 17:00,N/A,N/A
11/14/2018 18:00,N/A,N/A
11/14/2018 19:00,N/A,N/A
11/14/2018 20:00,N/A,N/A
11/14/2018 21:00,N/A,N/A
11/14/2018 22:00,N/A,N/A
11/14/2018 23:00,N/A,N/A
11/15/2018 0:00,N/A,N/A
11/15/2018 1:00,N/A,N/A
11/15/2018 2:00,N/A,N/A
11/15/2018 3:00,N/A,N/A
11/15/2018 4:00,N/A,N/A
11/15/2018 5:00,N/A,N/A
11/15/2018 6:00,N/A,N/A
11/15/2018 7:00,N/A,N/A
11/15/2018 8:00,N/A,N/A
11/15/2018 9:00,N/A,N/A
11/15/2018 10:00,N/A,N/A
11/15/2018 11:00,N/A,N/A
11/15/2018 12:00,N/A,N/A
11/15/2018 13:00,N/A,N/A
11/15/2018 14:00,N/A,N/A
11/15/2018 15:00,N/A,N/A
11/15/2018 16:00,N/A,N/A
11/15/2018 17:00,N/A,N/A
11/15/2018 18:00,N/A,N/A
11/15/2018 19:00,N/A,N/A
11/15/2018 20:00,N/A,N/A
11/15/2018 21:00,N/A,N/A
11/15/2018 22:00,N/A,N/A
11/15/2018 23:00,N/A,N/A
11/16/2018 0:00,N/A,N/A
11/16/2018 1:00,N/A,N/A
11/16/2018 2:00,N/A,N/A
11/16/2018 3:00,N/A,N/A
11/16/2018 4:00,N/A,N/A
11/16/2018 5:00,N/A,N/A
11/16/2018 6:00,N/A,N/A
11/16/2018 7:00,N/A,N/A
11/16/2018 8:00,N/A,N/A
11/16/2018 9:00,N/A,N/A
11/16/2018 10:00,N/A,N/A
11/16/2018 11:00,N/A,N/A
11/16/2018 12:00,N/A,N/A
11/16/2018 13:00,N/A,N/A
11/16/2018 14:00,N/A,N/A
11/16/2018 15:00,N/A,N/A
11/16/2018 16:00,N/A,N/A
11/16/2018 17:00,N/A,N/A
11/16/2018 18:00,N/A,N/A
11/16/2018 19:00,N/A,N/A
11/16/2018 20:00,N/A,N/A
11/16/2018 21:00,N/A,N/A
11/16/2018 22:00,N/A,N/A
11/16/2018 23:00,N/A,N/A
11/17/2018 0:00,N/A,N/A
11/17/2018 1:00,N/A,N/A
11/17/2018 2:00,N/A,N/A
11/17/2018 3:00,N/A,N/A
11/17/2018 4:00,N/A,N/A
11/17/2018 5:00,N/A,N/A
11/17/2018 6:00,N/A,N/A
11/17/2018 7:00,N/A,N/A
11/17/2018 8:00,N/A,N/A
11/17/2018 9:00,N/A,N/A
11/17/2018 10:00,N/A,N/A
11/17/2018 11:00,N/A,N/A
11/17/2018 12:00,N/A,N/A
11/17/2018 13:00,N/A,N/A
11/17/2018 14:00,N/A,N/A
11/17/2018 15:00,N/A,N/A
11/17/2018 16:00,N/A,N/A
11/17/2018 17:00,N/A,N/A
11/17/2018 18:00,N/A,N/A
11/17/2018 19:00,N/A,N/A
11/17/2018 20:00,N/A,N/A
11/17/2018 21:00,N/A,N/A
11/17/2018 22:00,N/A,N/A
11/17/2018 23:00,N/A,N/A
11/18/2018 0:00,N/A,N/A
11/18/2018 1:00,N/A,N/A
11/18/2018 2:00,N/A,N/A
11/18/2018 3:00,N/A,N/A
11/18/2018 4:00,N/A,N/A
11/18/2018 5:00,N/A,N/A
11/18/2018 6:00,N/A,N/A
11/18/2018 7:00,N/A,N/A
11/18/2018 8:00,N/A,N/A
11/18/2018 9:00,N/A,N/A
11/18/2018 10:00,N/A,N/A
11/18/2018 11:00,N/A,N/A
11/18/2018 12:00,N/A,N/A
11/18/2018 13:00,N/A,N/A
11/18/2018 14:00,N/A,N/A
11/18/2018 15:00,N/A,N/A
11/18/2018 16:00,N/A,N/A
11/18/2018 17:00,N/A,N/A
11/18/2018 18:00,N/A,N/A
11/18/2018 19:00,N/A,N/A
11/18/2018 20:00,N/A,N/A
11/18/2018 21:00,N/A,N/A
11/18/2018 22:00,N/A,N/A
11/18/2018 23:00,N/A,N/A
11/19/2018 0:00,N/A,N/A
11/19/2018 1:00,N/A,N/A
11/19/2018 2:00,N/A,N/A
11/19/2018 3:00,N/A,N/A
11/19/2018 4:00,N/A,N/A
11/19/2018 5:00,N/A,N/A
11/19/2018 6:00,N/A,N/A
11/19/2018 7:00,N/A,N/A
11/19/2018 8:00,N/A,N/A
11/19/2018 9:00,N/A,N/A
11/19/2018 10:00,N/A,N/A
11/19/2018 11:00,N/A,N/A
11/19/2018 12:00,N/A,N/A
11/19/2018 13:00,N/A,N/A
11/19/2018 14:00,N/A,N/A
11/19/2018 15:00,N/A,N/A
11/19/2018 16:00,N/A,N/A
11/19/2018 17:00,N/A,N/A
11/19/2018 18:00,N/A,N/A
11/19/2018 19:00,N/A,N/A
11/19/2018 20:00,N/A,N/A
11/19/2018 21:00,N/A,N/A
11/19/2018 22:00,N/A,N/A
11/19/2018 23:00,N/A,N/A
11/20/2018 0:00,N/A,N/A
11/20/2018 1:00,N/A,N/A
11/20/2018 2:00,N/A,N/A
11/20/2018 3:00,N/A,N/A
11/20/2018 4:00,N/A,N/A
11/20/2018 5:00,N/A,N/A
11/20/2018 6:00,N/A,N/A
11/20/2018 7:00,N/A,N/A
11/20/2018 8:00,N/A,N/A
11/20/2018 9:00,N/A,N/A
11/20/2018 10:00,N/A,N/A
11/20/2018 11:00,N/A,N/A
11/20/2018 12:00,N/A,N/A
11/20/2018 13:00,N/A,N/A
11/20/2018 14:00,N/A,N/A
11/20/2018 15:00,N/A,N/A
11/20/2018 16:00,N/A,N/A
11/20/2018 17:00,N/A,N/A
11/20/2018 18:00,N/A,N/A
11/20/2018 19:00,N/A,N/A
11/20/2018 20:00,N/A,N/A
11/20/2018 21:00,N/A,N/A
11/20/2018 22:00,N/A,N/A
11/20/2018 23:00,N/A,N/A
11/21/2018 0:00,N/A,N/A
11/21/2018 1:00,N/A,N/A
11/21/2018 2:00,N/A,N/A
11/21/2018 3:00,N/A,N/A
11/21/2018 4:00,N/A,N/A
11/21/2018 5:00,N/A,N/A
11/21/2018 6:00,N/A,N/A
11/21/2018 7:00,N/A,N/A
11/21/2018 8:00,N/A,N/A
11/21/2018 9:00,N/A,N/A
11/21/2018 10:00,N/A,N/A
11/21/2018 11:00,N/A,N/A
11/21/2018 12:00,N/A,N/A
11/21/2018 13:00,N/A,N/A
11/21/2018 14:00,N/A,N/A
11/21/2018 15:00,N/A,N/A
11/21/2018 16:00,N/A,N/A
11/21/2018 17:00,N/A,N/A
11/21/2018 18:00,N/A,N/A
11/21/2018 19:00,N/A,N/A
11/21/2018 20:00,N/A,N/A
11/21/2018 21:00,N/A,N/A
11/21/2018 22:00,N/A,N/A
11/21/2018 23:00,N/A,N/A
11/22/2018 0:00,N/A,N/A
11/22/2018 1:00,N/A,N/A
11/22/2018 2:00,N/A,N/A
11/22/2018 3:00,N/A,N/A
11/22/2018 4:00,N/A,N/A
11/22/2018 5:00,N/A,N/A
11/22/2018 6:00,N/A,N/A
11/22/2018 7:00,N/A,N/A
11/22/2018 8:00,N/A,N/A
11/22/2018 9:00,N/A,N/A
11/22/2018 10:00,N/A,N/A
11/22/2018 11:00,N/A,N/A
11/22/2018 12:00,N/A,N/A
11/22/2018 13:00,N/A,N/A
11/22/2018 14:00,N/A,N/A
11/22/2018 15:00,N/A,N/A
11/22/2018 16:00,N/A,N/A
11/22/2018 17:00,N/A,N/A
11/22/2018 18:00,N/A,N/A
11/22/2018 19:00,N/A,N/A
11/22/2018 20:00,N/A,N/A
11/22/2018 21:00,N/A,N/A
11/22/2018 22:00,N/A,N/A
11/22/2018 23:00,N/A,N/A
11/23/2018 0:00,N/A,N/A
11/23/2018 1:00,N/A,N/A
11/23/2018 2:00,N/A,N/A
11/23/2018 3:00,N/A,N/A
11/23/2018 4:00,N/A,N/A
11/23/2018 5:00,N/A,N/A
11/23/2018 6:00,N/A,N/A
11/23/2018 7:00,N/A,N/A
11/23/2018 8:00,N/A,N/A
11/23/2018 9:00,N/A,N/A
11/23/2018 10:00,N/A,N/A
11/23/2018 11:00,N/A,N/A
11/23/2018 12:00,N/A,N/A
11/23/2018 13:00,N/A,N/A
11/23/2018 14:00,N/A,N/A
11/23/2018 15:00,N/A,N/A
11/23/2018 16:00,N/A,N/A
